,_id,experimentName,iterationName,workerID,gameID,studyLocation,timeAbsolute,timeRelative,blocks,discreteWorld,eventType,block,block_str,tower_id,tower_A_tall_id,tower_A_wide_id,tower_B_tall_id,tower_B_wide_id,tower_id_tall,composite_id,trial_start_time,relative_time,datatype,stimulus,condition,n_block,n_resets,absolute_time,cumulative_resets_across_submissions
0,641ccc8d6e17e9023eee5e33,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608973087.0,27245,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 6, 'y': 0, 'width': 2, 'height': 1}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,2229,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,1,0.0,,
1,641ccc8d6e17e9023eee5e34,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608973887.0,28045,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 0, 'width': 2, 'height': 1}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 4, 'y': 0, 'width': 2, 'height': 1}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,3029,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,2,0.0,,
2,641ccc8e6e17e9023eee5e35,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608974720.0,28878,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 1, 'width': 1, 'height': 2}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, False, False, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 4, 'y': 1, 'width': 1, 'height': 2}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,3862,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,3,0.0,,
3,641ccc8f6e17e9023eee5e36,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608975788.0,29946,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 1, 'width': 1, 'height': 2}, {'x': 7, 'y': 1, 'width': 1, 'height': 2}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, False, False, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, False, False, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 7, 'y': 1, 'width': 1, 'height': 2}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,4930,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,4,0.0,,
4,641ccc916e17e9023eee5e37,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608977004.0,31162,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 1, 'width': 1, 'height': 2}, {'x': 7, 'y': 1, 'width': 1, 'height': 2}, {'x': 4, 'y': 3, 'width': 2, 'height': 1}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, False, False, False, True, True, True, True, True, True], [False, True, True, False, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, False, False, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 4, 'y': 3, 'width': 2, 'height': 1}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,6146,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,5,0.0,,
5,641ccc926e17e9023eee5e38,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608978205.0,32363,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 1, 'width': 1, 'height': 2}, {'x': 7, 'y': 1, 'width': 1, 'height': 2}, {'x': 4, 'y': 3, 'width': 2, 'height': 1}, {'x': 6, 'y': 3, 'width': 2, 'height': 1}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, False, False, False, True, True, True, True, True, True], [False, True, True, False, True, True, True, True, True, True], [False, True, True, False, True, True, True, True, True, True], [False, False, False, False, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 6, 'y': 3, 'width': 2, 'height': 1}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,7347,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,6,0.0,,
6,641ccc936e17e9023eee5e39,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608979271.0,33429,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 1, 'width': 1, 'height': 2}, {'x': 7, 'y': 1, 'width': 1, 'height': 2}, {'x': 4, 'y': 3, 'width': 2, 'height': 1}, {'x': 6, 'y': 3, 'width': 2, 'height': 1}, {'x': 4, 'y': 4, 'width': 1, 'height': 2}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, False, False, False, False, False, True, True, True, True], [False, True, True, False, True, True, True, True, True, True], [False, True, True, False, True, True, True, True, True, True], [False, False, False, False, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 4, 'y': 4, 'width': 1, 'height': 2}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,8413,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,7,0.0,,
7,641ccc946e17e9023eee5e3a,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679608980470.0,34628,"[{'x': 6, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 1, 'width': 1, 'height': 2}, {'x': 7, 'y': 1, 'width': 1, 'height': 2}, {'x': 4, 'y': 3, 'width': 2, 'height': 1}, {'x': 6, 'y': 3, 'width': 2, 'height': 1}, {'x': 4, 'y': 4, 'width': 1, 'height': 2}, {'x': 6, 'y': 4, 'width': 1, 'height': 2}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, False, False, False, False, False, True, True, True, True], [False, True, True, False, True, True, True, True, True, True], [False, True, True, False, False, False, True, True, True, True], [False, False, False, False, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 6, 'y': 4, 'width': 1, 'height': 2}",0000000000000000101000001010000011110000100100001001000011110000,talls_114_111,tall_114,wide_013,tall_111,wide_014,talls_114_111,talls_114_111,1679608970858.0,9612,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 0, 'y': 1, 'height': 2, 'width': 1}, {'x': 0, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 2, 'y': 0, 'height': 1, 'width': 2}, {'x': 3, 'y': 1, 'height': 2, 'width': 1}, {'x': 2, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 2, 'width': 1}]}",build,8,0.0,,
8,641cccbc6e17e9023eee5e3f,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679609020538.0,74696,"[{'x': 3, 'y': 0, 'width': 2, 'height': 1}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 3, 'y': 0, 'width': 2, 'height': 1}",0000000000000000111100000101000001010000011100000101000011010000,talls_118_121,tall_118,wide_010,tall_121,wide_022,talls_118_121,talls_118_121,1679609018319.0,2219,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 1, 'y': 1, 'height': 2, 'width': 1}, {'x': 1, 'y': 3, 'height': 2, 'width': 1}, {'x': 0, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 0, 'height': 2, 'width': 1}, {'x': 2, 'y': 2, 'height': 1, 'width': 2}, {'x': 3, 'y': 3, 'height': 2, 'width': 1}, {'x': 2, 'y': 5, 'height': 1, 'width': 2}]}",build,1,0.0,,
9,641cccbd6e17e9023eee5e40,block_construction_build_components,build_components_build_recall_prolific_pilot_6_towers,,6364-44d1a556-7969-4b9d-85ce-04fdf786ddcd,,1679609021522.0,75680,"[{'x': 3, 'y': 0, 'width': 2, 'height': 1}, {'x': 4, 'y': 1, 'width': 1, 'height': 2}]","[[True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [False, True, True, True, True, True, True, True, True, True], [False, False, False, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True]]",block_placement,"{'x': 4, 'y': 1, 'width': 1, 'height': 2}",0000000000000000111100000101000001010000011100000101000011010000,talls_118_121,tall_118,wide_010,tall_121,wide_022,talls_118_121,talls_118_121,1679609018319.0,3203,block_placement,"{'blocks': [{'x': 0, 'y': 0, 'height': 1, 'width': 2}, {'x': 1, 'y': 1, 'height': 2, 'width': 1}, {'x': 1, 'y': 3, 'height': 2, 'width': 1}, {'x': 0, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 0, 'height': 2, 'width': 1}, {'x': 2, 'y': 2, 'height': 1, 'width': 2}, {'x': 3, 'y': 3, 'height': 2, 'width': 1}, {'x': 2, 'y': 5, 'height': 1, 'width': 2}]}",build,2,0.0,,
