,gameID,bestMatchCondition,nMatched,bestMatchF1Mean,built_both
60,5533-012c1356-92a6-4a60-bd4e-8ff5a33aa8f6,build,2.0,0.84375,False
61,5533-012c1356-92a6-4a60-bd4e-8ff5a33aa8f6,view,0.0,,False
62,5543-d4c4a54f-7a36-41e8-a48d-699dfa13007e,build,3.0,0.8333333333333334,True
63,5543-d4c4a54f-7a36-41e8-a48d-699dfa13007e,view,3.0,0.8541666666666666,True
64,5955-c71bea47-b459-49a5-b5a9-69ce06110ee0,build,3.0,0.875,True
65,5955-c71bea47-b459-49a5-b5a9-69ce06110ee0,view,3.0,0.8333333333333334,True
66,6806-1b0c1fdb-1f6a-435c-8953-e906215530ab,build,3.0,0.7916666666666666,True
67,6806-1b0c1fdb-1f6a-435c-8953-e906215530ab,view,3.0,0.875,True
68,7004-4417afd1-9081-42a3-b653-9cf279904cb5,build,2.0,0.78125,True
69,7004-4417afd1-9081-42a3-b653-9cf279904cb5,view,1.0,0.75,True
70,7016-f8c8cb80-05a6-4703-aaf0-c19d4bd76be1,build,1.0,0.875,False
71,7016-f8c8cb80-05a6-4703-aaf0-c19d4bd76be1,view,0.0,,False
72,7246-1de59a77-8cc2-4cc4-b787-296bac25fd9e,build,3.0,0.8541666666666666,True
73,7246-1de59a77-8cc2-4cc4-b787-296bac25fd9e,view,3.0,1.0,True
74,7596-b4b1af8a-ae20-4a8e-a9c8-399036693648,build,3.0,0.6666666666666666,True
75,7596-b4b1af8a-ae20-4a8e-a9c8-399036693648,view,3.0,0.6875,True
76,7773-1b67ae19-c0ba-4173-916f-6905b72c894c,build,2.0,1.0,False
77,7773-1b67ae19-c0ba-4173-916f-6905b72c894c,view,0.0,,False
78,8269-6b7d581c-d5ac-4d0d-a48d-db6da4e40ccf,build,3.0,1.0,True
79,8269-6b7d581c-d5ac-4d0d-a48d-db6da4e40ccf,view,3.0,1.0,True
80,8430-1b1d568f-f51e-44e7-bb75-f7629d3a44ed,build,3.0,0.6875,True
81,8430-1b1d568f-f51e-44e7-bb75-f7629d3a44ed,view,3.0,0.7916666666666666,True
82,8606-acc7425f-fe32-4cec-a98b-d094e900142e,build,2.0,1.0,True
83,8606-acc7425f-fe32-4cec-a98b-d094e900142e,view,3.0,0.875,True
84,8685-2b9de59d-e1a1-44b2-9ab0-63ae52599be7,build,3.0,0.7291666666666666,True
85,8685-2b9de59d-e1a1-44b2-9ab0-63ae52599be7,view,1.0,0.875,True
86,9009-d9ea75a9-7210-4d13-b88b-45f9ce36b9be,build,3.0,0.875,True
87,9009-d9ea75a9-7210-4d13-b88b-45f9ce36b9be,view,3.0,0.7083333333333334,True
88,9090-04f7813f-1c10-43ae-846b-97da741f5acc,build,1.0,0.75,True
89,9090-04f7813f-1c10-43ae-846b-97da741f5acc,view,1.0,0.875,True
90,9122-98410562-bea6-46af-8e2b-e03cd2cea96b,build,3.0,0.7708333333333334,True
91,9122-98410562-bea6-46af-8e2b-e03cd2cea96b,view,2.0,0.71875,True
92,9233-2420fc0d-679a-4a08-8e59-577c9a0aaf55,build,0.0,,False
93,9233-2420fc0d-679a-4a08-8e59-577c9a0aaf55,view,1.0,1.0,False
94,9343-013fb2db-94d6-4c42-b102-167d834d6e0b,build,2.0,0.78125,True
95,9343-013fb2db-94d6-4c42-b102-167d834d6e0b,view,1.0,1.0,True
96,9537-a4cb8e30-2593-4f24-a368-351cffbe1004,build,3.0,0.7916666666666666,True
97,9537-a4cb8e30-2593-4f24-a368-351cffbe1004,view,3.0,0.8125,True
98,9894-b0bd18cd-ad29-426a-ba20-1c769711d5a6,build,2.0,0.8125,True
99,9894-b0bd18cd-ad29-426a-ba20-1c769711d5a6,view,1.0,0.875,True
