,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,optimal_euclidean_distance,temporal_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
782,hand_selected_009,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,4,repetition 1,post,3.019519469662188,repetition 1 to post,0.6120046188698979,0.7454545454545454,1.0,0.9583333333333334,repeated
783,hand_selected_009,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,5,repetition 2,post,3.2753258243915386,repetition 2 to post,0.601069763904687,0.7090909090909091,0.9591836734693876,0.9583333333333334,repeated
784,hand_selected_009,4611-415301bd-3cd2-4751-9911-e530d1bce758,0,pre,repetition 1,4.645833542283314,pre to repetition 1,2.3147138087681824,-0.3333333333333333,0.6486486486486487,0.8695652173913043,repeated
785,hand_selected_009,4611-415301bd-3cd2-4751-9911-e530d1bce758,1,pre,repetition 2,3.556207131440083,pre to repetition 2,2.7349909607466922,0.2,0.6486486486486487,0.7692307692307693,repeated
786,hand_selected_009,4611-415301bd-3cd2-4751-9911-e530d1bce758,2,pre,post,3.7673702221895176,pre to post,2.9610996716866573,0.2,0.6486486486486487,0.9787234042553192,repeated
787,hand_selected_009,4611-415301bd-3cd2-4751-9911-e530d1bce758,3,repetition 1,repetition 2,2.8356463486037176,repetition 1 to repetition 2,1.02051760426961,0.6,0.8695652173913043,0.7692307692307693,repeated
788,hand_selected_009,4611-415301bd-3cd2-4751-9911-e530d1bce758,4,repetition 1,post,3.0487343891074055,repetition 1 to post,2.090168668967295,0.6428571428571428,0.8695652173913043,0.9787234042553192,repeated
789,hand_selected_009,4611-415301bd-3cd2-4751-9911-e530d1bce758,5,repetition 2,post,3.627574582815788,repetition 2 to post,2.0926389558431224,0.6,0.7692307692307693,0.9787234042553192,repeated
790,hand_selected_009,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,0,pre,post,4.032643626084383,pre to post,0.628539361054709,0.611111111111111,0.9583333333333334,0.9791666666666666,control
791,hand_selected_009,4889-4e19ed70-4376-476c-857e-028e0af87a64,0,pre,repetition 1,3.3098084979595987,pre to repetition 1,1.7079017156184375,0.5555555555555556,0.7555555555555556,0.8333333333333334,repeated
792,hand_selected_009,4889-4e19ed70-4376-476c-857e-028e0af87a64,1,pre,repetition 2,3.484942635017716,pre to repetition 2,2.9423340359121086,0.6444444444444444,0.7555555555555556,0.5599999999999999,repeated
793,hand_selected_009,4889-4e19ed70-4376-476c-857e-028e0af87a64,2,pre,post,3.938818471508359,pre to post,2.6818086802227183,0.4666666666666666,0.7555555555555556,0.8076923076923077,repeated
794,hand_selected_009,4889-4e19ed70-4376-476c-857e-028e0af87a64,3,repetition 1,repetition 2,3.8008127091450765,repetition 1 to repetition 2,2.301641849124318,0.5555555555555556,0.8333333333333334,0.5599999999999999,repeated
795,hand_selected_009,4889-4e19ed70-4376-476c-857e-028e0af87a64,4,repetition 1,post,3.8521448805996275,repetition 1 to post,2.5378365915409336,0.2777777777777778,0.8333333333333334,0.8076923076923077,repeated
796,hand_selected_009,4889-4e19ed70-4376-476c-857e-028e0af87a64,5,repetition 2,post,4.9117593353816416,repetition 2 to post,2.661812846422921,0.41818181818181815,0.5599999999999999,0.8076923076923077,repeated
797,hand_selected_009,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,0,pre,post,3.730396118191411,pre to post,1.0674479935713685,0.5238095238095238,0.7857142857142857,0.8139534883720931,control
798,hand_selected_009,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,0,pre,post,2.1196931627595816,pre to post,0.2194739602157359,0.8181818181818182,1.0,1.0,control
799,hand_selected_009,5658-a87bad40-6533-48cc-be97-3576ffc5a243,0,pre,repetition 1,3.9263138790313845,pre to repetition 1,2.0541261051559134,0.5555555555555555,0.5952380952380953,0.979591836734694,repeated
800,hand_selected_009,5658-a87bad40-6533-48cc-be97-3576ffc5a243,1,pre,repetition 2,3.6401045503716327,pre to repetition 2,1.748901941845735,0.5111111111111111,0.5952380952380953,1.0,repeated
801,hand_selected_009,5658-a87bad40-6533-48cc-be97-3576ffc5a243,2,pre,post,2.6445655724239963,pre to post,2.0156232045040214,0.6,0.5952380952380953,0.9791666666666666,repeated
802,hand_selected_009,5658-a87bad40-6533-48cc-be97-3576ffc5a243,3,repetition 1,repetition 2,0.7552692767855189,repetition 1 to repetition 2,0.6796545909814857,0.9555555555555554,0.979591836734694,1.0,repeated
803,hand_selected_009,5658-a87bad40-6533-48cc-be97-3576ffc5a243,4,repetition 1,post,2.379673013262254,repetition 1 to post,0.9818643672455629,0.7777777777777777,0.979591836734694,0.9791666666666666,repeated
804,hand_selected_009,5658-a87bad40-6533-48cc-be97-3576ffc5a243,5,repetition 2,post,2.2269116512742606,repetition 2 to post,0.9336822302140381,0.7575757575757575,1.0,0.9791666666666666,repeated
