,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,optimal_euclidean_distance,temporal_similarity,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
358,hand_selected_005,0064-814a18ae-2fa4-4045-9d87-a80b97e86fd2,2,pre,post,3.637114740445145,pre to post,1.37955060707034,0.4285714285714286,1.0,1.0,repeated
359,hand_selected_005,0064-814a18ae-2fa4-4045-9d87-a80b97e86fd2,3,repetition 1,repetition 2,0.0,repetition 1 to repetition 2,0.0,1.0,1.0,1.0,repeated
360,hand_selected_005,0064-814a18ae-2fa4-4045-9d87-a80b97e86fd2,4,repetition 1,post,1.832632446392313,repetition 1 to post,0.68977530353517,0.9047619047619049,1.0,1.0,repeated
361,hand_selected_005,0064-814a18ae-2fa4-4045-9d87-a80b97e86fd2,5,repetition 2,post,1.832632446392313,repetition 2 to post,0.68977530353517,0.9047619047619049,1.0,1.0,repeated
362,hand_selected_005,0087-a8ce426a-f603-4146-82e8-2009f9f88cb6,0,pre,post,2.973905551256781,pre to post,1.8028532234692558,0.7142857142857143,0.9333333333333332,0.8,control
363,hand_selected_005,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,0,pre,post,3.6008038787245447,pre to post,3.321414335110168,0.6666666666666669,0.4210526315789474,0.5957446808510638,control
364,hand_selected_005,0378-7d867000-bd75-4306-a6b9-1bbc825baeba,0,pre,repetition 1,3.7758699951635215,pre to repetition 1,2.8412479014799428,0.7333333333333333,0.3333333333333333,0.6190476190476191,repeated
365,hand_selected_005,0378-7d867000-bd75-4306-a6b9-1bbc825baeba,1,pre,repetition 2,2.7424677333420537,pre to repetition 2,2.7424677333420537,0.9999999999999999,0.3333333333333333,1.0,repeated
366,hand_selected_005,0378-7d867000-bd75-4306-a6b9-1bbc825baeba,2,pre,post,3.548667518973485,pre to post,2.7424677333420537,0.8666666666666666,0.3333333333333333,1.0,repeated
367,hand_selected_005,0378-7d867000-bd75-4306-a6b9-1bbc825baeba,3,repetition 1,repetition 2,2.342620805381167,repetition 1 to repetition 2,1.7711922339525956,0.9047619047619049,0.6190476190476191,1.0,repeated
368,hand_selected_005,0378-7d867000-bd75-4306-a6b9-1bbc825baeba,4,repetition 1,post,1.7711922339525956,repetition 1 to post,1.7711922339525956,1.0,0.6190476190476191,1.0,repeated
369,hand_selected_005,0378-7d867000-bd75-4306-a6b9-1bbc825baeba,5,repetition 2,post,0.8571428571428571,repetition 2 to post,0.0,0.9047619047619049,1.0,1.0,repeated
370,hand_selected_005,0434-069d08d2-b6da-468c-9942-67eec07930ea,0,pre,post,3.69061642128024,pre to post,1.0,0.6,1.0,0.6190476190476191,control
371,hand_selected_005,0435-27915742-880e-4b35-9160-ef5d102c95a0,0,pre,post,2.4680423012814945,pre to post,1.6104335178741698,0.7142857142857142,0.9333333333333332,1.0,control
372,hand_selected_005,0443-fd078367-c19d-495d-84d5-3519a281435d,0,pre,post,4.511042555592008,pre to post,2.5,-1.0,0.375,1.0,control
373,hand_selected_005,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,0,pre,post,0.6035533905932737,pre to post,0.6035533905932737,0.9999999999999998,1.0,1.0,control
374,hand_selected_005,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,0,pre,repetition 1,1.303107278742605,pre to repetition 1,1.303107278742605,0.9999999999999999,0.631578947368421,0.8301886792452831,repeated
375,hand_selected_005,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,1,pre,repetition 2,1.74535599249993,pre to repetition 2,1.6142596200471615,0.8666666666666666,0.631578947368421,0.9333333333333332,repeated
376,hand_selected_005,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,2,pre,post,2.5054610637534833,pre to post,2.1142596200471613,0.7333333333333333,0.631578947368421,0.7547169811320755,repeated
377,hand_selected_005,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,3,repetition 1,repetition 2,2.98618857016268,repetition 1 to repetition 2,2.647273691432175,0.7222222222222222,0.8301886792452831,0.9333333333333332,repeated
378,hand_selected_005,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,4,repetition 1,post,3.7038803784304526,repetition 1 to post,2.392162569778276,0.7777777777777777,0.8301886792452831,0.7547169811320755,repeated
379,hand_selected_005,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,5,repetition 2,post,2.5934608747861647,repetition 2 to post,1.3669039243432233,0.8888888888888888,0.9333333333333332,0.7547169811320755,repeated
380,hand_selected_005,0652-88ebf36e-0780-4434-a9c7-969af27c2636,0,pre,post,3.8477354833111588,pre to post,1.8430230267506016,0.16666666666666666,0.8,0.7868852459016393,control
381,hand_selected_005,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,0,pre,repetition 1,2.682495664649681,pre to repetition 1,0.68977530353517,0.7142857142857143,1.0,1.0,repeated
382,hand_selected_005,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,1,pre,repetition 2,1.1428571428571428,pre to repetition 2,0.0,0.9047619047619049,1.0,1.0,repeated
383,hand_selected_005,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,2,pre,post,1.8183795572973784,pre to post,1.1765811396428272,0.9047619047619049,1.0,0.75,repeated
