,gameID,numBlocks_pre,targetName,rawF1DiscreteScore_pre,prop_unchanged,numBlocks_post,rawF1DiscreteScore_post
0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,6,hand_selected_009,0.8260869565217391,0.3333333333333333,8,0.75
1,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,4,hand_selected_005,0.4210526315789474,0.75,7,0.5957446808510638
2,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,5,hand_selected_008,0.6222222222222222,0.2,5,0.5365853658536586
3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,6,hand_selected_006,0.6249999999999999,0.16666666666666666,7,0.6875
4,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,9,hand_selected_012,0.4444444444444444,0.0,7,0.6666666666666666
5,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,6,hand_selected_004,0.8333333333333333,0.0,7,0.4999999999999999
6,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,7,hand_selected_016,0.27027027027027023,0.0,7,0.7073170731707317
7,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,6,hand_selected_011,0.6875,0.16666666666666666,6,0.5714285714285714
8,0443-fd078367-c19d-495d-84d5-3519a281435d,2,hand_selected_005,0.375,0.5,8,1.0
9,0443-fd078367-c19d-495d-84d5-3519a281435d,12,hand_selected_016,0.8979591836734693,0.3333333333333333,12,1.0
10,0443-fd078367-c19d-495d-84d5-3519a281435d,12,hand_selected_004,0.9454545454545454,0.3333333333333333,12,1.0
11,0443-fd078367-c19d-495d-84d5-3519a281435d,8,hand_selected_009,0.8863636363636362,0.75,12,0.979591836734694
12,0443-fd078367-c19d-495d-84d5-3519a281435d,10,hand_selected_006,0.903846153846154,0.8,10,0.903846153846154
13,0443-fd078367-c19d-495d-84d5-3519a281435d,15,hand_selected_012,0.7272727272727272,0.13333333333333333,11,1.0
14,0443-fd078367-c19d-495d-84d5-3519a281435d,7,hand_selected_008,0.6486486486486487,0.2857142857142857,11,1.0
15,0443-fd078367-c19d-495d-84d5-3519a281435d,9,hand_selected_011,1.0,0.0,14,0.8333333333333333
16,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,6,hand_selected_004,0.7083333333333333,0.0,10,0.9166666666666666
17,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,14,hand_selected_016,0.6923076923076923,0.0,8,0.763157894736842
18,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,8,hand_selected_005,1.0,0.75,8,1.0
19,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,8,hand_selected_011,0.9803921568627452,0.5,7,0.7045454545454546
20,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,8,hand_selected_009,0.9574468085106383,0.5,7,0.8837209302325582
21,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,9,hand_selected_008,0.8888888888888891,0.4444444444444444,9,0.979591836734694
22,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,5,hand_selected_006,0.631578947368421,0.4,8,0.6153846153846155
23,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,9,hand_selected_012,0.9,0.7777777777777778,10,0.95
24,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,6,hand_selected_004,0.5777777777777778,0.0,7,0.7999999999999999
25,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,7,hand_selected_006,0.5641025641025641,0.14285714285714285,9,0.8181818181818181
26,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,8,hand_selected_011,0.7551020408163265,0.25,13,0.962962962962963
27,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,7,hand_selected_009,0.7727272727272727,0.2857142857142857,10,0.7407407407407408
28,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,8,hand_selected_012,0.8780487804878048,0.5,9,0.8333333333333333
29,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,6,hand_selected_005,0.631578947368421,0.16666666666666666,11,0.7547169811320755
30,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,7,hand_selected_016,0.7674418604651163,0.14285714285714285,8,0.8260869565217391
31,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,7,hand_selected_008,0.7000000000000001,0.2857142857142857,9,0.9166666666666666
32,0652-88ebf36e-0780-4434-a9c7-969af27c2636,9,hand_selected_005,0.8,0.2222222222222222,14,0.7868852459016393
33,0652-88ebf36e-0780-4434-a9c7-969af27c2636,10,hand_selected_012,0.35294117647058826,0.2,23,0.576271186440678
34,0652-88ebf36e-0780-4434-a9c7-969af27c2636,15,hand_selected_011,0.7258064516129031,0.06666666666666667,8,0.6136363636363638
