,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,baseline,optimal_euclidean_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
2662,hand_selected_016,2676-5d6956b9-b59d-4afb-abca-2ac16ba464bb,0,pre,repetition 1,4.660519670452532,pre to repetition 1,no,3.241232588008714,0.5555555555555556,0.6168224299065421,repeated
2663,hand_selected_016,2676-5d6956b9-b59d-4afb-abca-2ac16ba464bb,1,pre,repetition 2,4.681083103521298,pre to repetition 2,no,2.1811480789735094,0.5555555555555556,0.8125000000000001,repeated
2664,hand_selected_016,2676-5d6956b9-b59d-4afb-abca-2ac16ba464bb,2,pre,post,5.281154469582985,pre to post,no,2.8162973905395265,0.5555555555555556,0.8409090909090909,repeated
2665,hand_selected_016,2676-5d6956b9-b59d-4afb-abca-2ac16ba464bb,3,repetition 1,repetition 2,2.2607549625939667,repetition 1 to repetition 2,no,1.8841990727455733,0.6168224299065421,0.8125000000000001,repeated
2666,hand_selected_016,2676-5d6956b9-b59d-4afb-abca-2ac16ba464bb,4,repetition 1,post,2.2216959416510402,repetition 1 to post,no,1.9572171462341947,0.6168224299065421,0.8409090909090909,repeated
2667,hand_selected_016,2676-5d6956b9-b59d-4afb-abca-2ac16ba464bb,5,repetition 2,post,3.322090041499244,repetition 2 to post,no,1.9334133274077177,0.8125000000000001,0.8409090909090909,repeated
2668,hand_selected_016,2733-7b722a52-9a1e-416b-92c1-2606b38eb402,0,pre,post,3.600023991977926,pre to post,no,1.6653190641098725,0.775,1.0,control
2669,hand_selected_016,3107-597c83d2-b8bb-47f3-9232-297768c4f378,0,pre,repetition 1,4.266428433135233,pre to repetition 1,no,1.848802327873889,0.7551020408163266,0.6222222222222223,repeated
2670,hand_selected_016,3107-597c83d2-b8bb-47f3-9232-297768c4f378,1,pre,repetition 2,3.4538171776585753,pre to repetition 2,no,2.3049646016611374,0.7551020408163266,0.8157894736842106,repeated
2671,hand_selected_016,3107-597c83d2-b8bb-47f3-9232-297768c4f378,2,pre,post,4.218502181914287,pre to post,no,2.36645502900211,0.7551020408163266,0.9166666666666666,repeated
2672,hand_selected_016,3107-597c83d2-b8bb-47f3-9232-297768c4f378,3,repetition 1,repetition 2,5.372172052019258,repetition 1 to repetition 2,no,2.918424518429001,0.6222222222222223,0.8157894736842106,repeated
2673,hand_selected_016,3107-597c83d2-b8bb-47f3-9232-297768c4f378,4,repetition 1,post,3.076018639347505,repetition 1 to post,no,1.9516485257600085,0.6222222222222223,0.9166666666666666,repeated
2674,hand_selected_016,3107-597c83d2-b8bb-47f3-9232-297768c4f378,5,repetition 2,post,5.032617646621153,repetition 2 to post,no,2.5786165255018765,0.8157894736842106,0.9166666666666666,repeated
