,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,optimal_euclidean_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
0,hand_selected_004,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,0,pre,repetition 1,1.9738504032707727,pre to repetition 1,1.464347080264858,0.7000000000000001,1.0,repeated
1,hand_selected_004,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,pre,repetition 2,2.023643607979294,pre to repetition 2,1.645551750371122,0.7000000000000001,1.0,repeated
2,hand_selected_004,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,pre,post,2.19674181805407,pre to post,1.573674405673723,0.7000000000000001,1.0,repeated
3,hand_selected_004,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,repetition 1,repetition 2,1.1949382989376325,repetition 1 to repetition 2,0.5464101615137754,1.0,1.0,repeated
4,hand_selected_004,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,4,repetition 1,post,1.0515668461264172,repetition 1 to post,0.6666666666666666,1.0,1.0,repeated
5,hand_selected_004,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,5,repetition 2,post,0.9920225811417231,repetition 2 to post,0.9920225811417231,1.0,1.0,repeated
6,hand_selected_004,0087-a8ce426a-f603-4146-82e8-2009f9f88cb6,0,pre,repetition 1,2.2675918792439984,pre to repetition 1,2.0393446629166316,0.8510638297872339,0.8444444444444443,repeated
7,hand_selected_004,0087-a8ce426a-f603-4146-82e8-2009f9f88cb6,1,pre,repetition 2,0.7453559924999299,pre to repetition 2,0.7453559924999299,0.8510638297872339,0.375,repeated
8,hand_selected_004,0087-a8ce426a-f603-4146-82e8-2009f9f88cb6,2,pre,post,1.7190421258624633,pre to post,1.2351671366170052,0.8510638297872339,0.8444444444444443,repeated
9,hand_selected_004,0087-a8ce426a-f603-4146-82e8-2009f9f88cb6,3,repetition 1,repetition 2,1.6666666666666667,repetition 1 to repetition 2,1.6666666666666667,0.8444444444444443,0.375,repeated
10,hand_selected_004,0087-a8ce426a-f603-4146-82e8-2009f9f88cb6,4,repetition 1,post,2.570699157986603,repetition 1 to post,2.009118608325903,0.8444444444444443,0.8444444444444443,repeated
11,hand_selected_004,0087-a8ce426a-f603-4146-82e8-2009f9f88cb6,5,repetition 2,post,1.4907119849998598,repetition 2 to post,1.4907119849998598,0.375,0.8444444444444443,repeated
12,hand_selected_004,0434-069d08d2-b6da-468c-9942-67eec07930ea,0,pre,repetition 1,3.514591043027369,pre to repetition 1,1.6748061272641221,0.9803921568627452,1.0,repeated
13,hand_selected_004,0434-069d08d2-b6da-468c-9942-67eec07930ea,1,pre,repetition 2,2.777152034561327,pre to repetition 2,1.7108983933860908,0.9803921568627452,1.0,repeated
14,hand_selected_004,0434-069d08d2-b6da-468c-9942-67eec07930ea,2,pre,post,2.4001251288323933,pre to post,1.3412297568739417,0.9803921568627452,0.9803921568627452,repeated
15,hand_selected_004,0434-069d08d2-b6da-468c-9942-67eec07930ea,3,repetition 1,repetition 2,2.906429315764428,repetition 1 to repetition 2,1.1182772335828866,1.0,1.0,repeated
16,hand_selected_004,0434-069d08d2-b6da-468c-9942-67eec07930ea,4,repetition 1,post,3.1276205659015224,repetition 1 to post,1.4578839849589038,1.0,0.9803921568627452,repeated
17,hand_selected_004,0434-069d08d2-b6da-468c-9942-67eec07930ea,5,repetition 2,post,1.503177413042637,repetition 2 to post,0.7831861775471418,1.0,0.9803921568627452,repeated
18,hand_selected_004,0443-fd078367-c19d-495d-84d5-3519a281435d,0,pre,repetition 1,2.711420257356676,pre to repetition 1,0.8442906280527738,0.9454545454545454,1.0,repeated
