,gameID,trialNum,phase,condition,eventType,score,normedScore,numBlocks,timeAbsolute,timeRelative,currBonus,exploreResets,allVertices,nPracticeAttempts,exploreStartTime,targetName,finalExploreBlocks,preResetExploreBlocks,totalExploreBlocks,numAttempts
11,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,11,explore,physical,explore_end,0.22,0,5,1575564540493.0,1305788.9600000344,0,0,"[[{'x': 273.8496792695187, 'y': 592.5528495990955}, {'x': 493.8496792690868, 'y': 592.552413671166}, {'x': 493.84989723305137, 'y': 702.55241367095}, {'x': 273.84989723348315, 'y': 702.5528495988794}], [{'x': 498.84940888923524, 'y': 592.5516974007144}, {'x': 718.8494088876656, 'y': 592.5508663283588}, {'x': 718.8498244238431, 'y': 702.5508663275737}, {'x': 498.8498244254129, 'y': 702.5516973999293}], [{'x': 664.5808839466562, 'y': 482.6379237356973}, {'x': 719.5808832296003, 'y': 482.6290425170879}, {'x': 719.5986456668194, 'y': 592.6290410829782}, {'x': 664.5986463838748, 'y': 592.6379223015866}], [{'x': 434.5938788256553, 'y': 482.64053444096885}, {'x': 544.5938786944533, 'y': 482.6351618785559}, {'x': 544.5992512568664, 'y': 592.6351617473537}, {'x': 434.5992513880683, 'y': 592.6405343097666}], [{'x': 320.34775401425037, 'y': 482.6031834816267}, {'x': 375.3477540047071, 'y': 482.602158902996}, {'x': 375.34980316196885, 'y': 592.6021588839099}, {'x': 320.3498031715121, 'y': 592.6031834625405}]]",,1575564510489.0,hand_selected_010,5,[],5.0,1
12,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,12,explore,physical,explore_end,0.27,0,5,1575564635571.0,1400867.0550002716,0,0,"[[{'x': 273.85010002741126, 'y': 592.4966555512177}, {'x': 493.8501000273526, 'y': 592.4968162759095}, {'x': 493.85001966500715, 'y': 702.4968162758802}, {'x': 273.8500196650658, 'y': 702.4966555511884}], [{'x': 494.35230892746665, 'y': 592.5477576769423}, {'x': 714.3523088811021, 'y': 592.5522743678188}, {'x': 714.3500505356644, 'y': 702.5522743446364}, {'x': 494.35005058202876, 'y': 702.54775765376}], [{'x': 313.1002125302535, 'y': 372.5649290733008}, {'x': 423.1002125302404, 'y': 372.56498305049075}, {'x': 423.1001045758607, 'y': 592.564983050465}, {'x': 313.1001045758738, 'y': 592.5649290732753}], [{'x': 495.3568815851086, 'y': 372.63461084935733}, {'x': 605.3568815615374, 'y': 372.63688805792873}, {'x': 605.3523271443938, 'y': 592.6368880107868}, {'x': 495.35232716796514, 'y': 592.634610802215}], [{'x': 605.6290004391182, 'y': 372.5916175986555}, {'x': 715.6289998677386, 'y': 372.6028293550833}, {'x': 715.6065763548828, 'y': 592.6028282123247}, {'x': 605.6065769262624, 'y': 592.5916164558967}]]",,1575564605561.0,hand_selected_002,5,[],5.0,1
13,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,13,explore,mental,explore_end,0.32,0,0,1575564734286.0,1499581.7150003277,0,0,[],,1575564704280.0,hand_selected_011,0,[],0.0,1
14,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,14,explore,mental,explore_end,0.33,0,0,1575564829923.0,1595218.2900002226,0,0,[],,1575564799917.0,hand_selected_003,0,[],0.0,1
15,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,15,explore,physical,explore_end,0.36,0,5,1575564925257.0,1690553.5050001927,0,0,"[[{'x': 440.3514077956094, 'y': 592.6909705464308}, {'x': 660.3514076993094, 'y': 592.6974798930804}, {'x': 660.3481530259849, 'y': 702.6974798449304}, {'x': 440.3481531222846, 'y': 702.6909704982808}], [{'x': 606.0997971886399, 'y': 483.13911490860534}, {'x': 661.0997899370601, 'y': 483.1108717907935}, {'x': 661.1562761726847, 'y': 593.1108572876361}, {'x': 606.1562834242644, 'y': 593.1391004054483}], [{'x': 603.6293135347868, 'y': 373.4617050086309}, {'x': 658.6292865983004, 'y': 373.40727144559384}, {'x': 658.7381537243745, 'y': 483.40721757262116}, {'x': 603.7381806608608, 'y': 483.4616511356582}], [{'x': 603.82671841747, 'y': 263.5576785370773}, {'x': 658.8267182300415, 'y': 263.5531379267244}, {'x': 658.835799450747, 'y': 373.5531375518673}, {'x': 603.8357996381756, 'y': 373.5576781622202}], [{'x': 248.34994506835938, 'y': 592.478571428572}, {'x': 303.3499450683594, 'y': 592.478571428572}, {'x': 303.3499450683594, 'y': 702.478571428572}, {'x': 248.34994506835938, 'y': 702.478571428572}]]",,1575564895254.0,hand_selected_012,5,[],5.0,1
16,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,0,explore,physical,explore_end,0.0,0,6,1575560225812.0,202741.05499999132,0,0,"[[{'x': 422.5269235206718, 'y': 592.6890015438274}, {'x': 642.5269231774557, 'y': 592.7012903932177}, {'x': 642.5207787527605, 'y': 702.7012902216089}, {'x': 422.5207790959768, 'y': 702.6890013722186}], [{'x': 529.4482077133019, 'y': 482.55925234458886}, {'x': 639.4480210333917, 'y': 482.76190856937814}, {'x': 639.245364808602, 'y': 592.7617218894662}, {'x': 529.245551488512, 'y': 592.5590656646765}], [{'x': 259.274410080402, 'y': 592.5958951919331}, {'x': 369.2744100747456, 'y': 592.594779636985}, {'x': 369.2755256296945, 'y': 702.594779631328}, {'x': 259.2755256353509, 'y': 702.5958951862762}], [{'x': 258.26761599169043, 'y': 482.8400715848123}, {'x': 478.26761566809773, 'y': 482.8281392485954}, {'x': 478.2735818362066, 'y': 592.8281390867987}, {'x': 258.2735821597994, 'y': 592.8400714230169}], [{'x': 364.02753895196986, 'y': 373.0091892122812}, {'x': 584.0275387602941, 'y': 373.0000056796199}, {'x': 584.0321305266257, 'y': 483.00000558378207}, {'x': 364.03213071830055, 'y': 483.0091891164434}], [{'x': 789.4360582389389, 'y': 597.0786542992871}, {'x': 758.2146651223408, 'y': 702.5548346048851}, {'x': 652.7384848167436, 'y': 671.3334414882864}, {'x': 683.9598779333417, 'y': 565.8572611826885}]]",,1575560195810.0,hand_selected_005,6,[],6.0,1
17,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,1,explore,mental,explore_end,0.05,0,0,1575560345990.0,322917.8499999689,0,0,[],,1575560315988.0,hand_selected_015,0,[],0.0,1
18,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,2,explore,mental,explore_end,0.1,0,0,1575560440856.0,417782.46999997646,0,0,[],,1575560410854.0,hand_selected_003,0,[],0.0,1
19,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,3,explore,physical,explore_end,0.11,0,6,1575560731243.0,708166.0099999281,0,0,"[[{'x': 496.77207967384714, 'y': 592.6913336946031}, {'x': 716.7720795887819, 'y': 592.6974515812603}, {'x': 716.7690206454527, 'y': 702.6974515387276}, {'x': 496.7690207305185, 'y': 702.6913336520704}], [{'x': 271.7721315862623, 'y': 592.4968162810356}, {'x': 491.77213157595384, 'y': 592.4946865287343}, {'x': 491.77319645210343, 'y': 702.4946865235801}, {'x': 271.7731964624119, 'y': 702.4968162758814}], [{'x': 380.7661298546011, 'y': 482.56400604712724}, {'x': 490.7661297526123, 'y': 482.55926919541776}, {'x': 490.7708666043218, 'y': 592.5592690934224}, {'x': 380.7708667063106, 'y': 592.5640059451323}], [{'x': 499.0342205311305, 'y': 483.1227425803283}, {'x': 719.0342197892279, 'y': 483.14081015936716}, {'x': 719.0251859997078, 'y': 593.1408097884149}, {'x': 499.0251867416111, 'y': 593.1227422093757}], [{'x': 501.2991681255155, 'y': 373.43537394466733}, {'x': 721.2991666050059, 'y': 373.461239462101}, {'x': 721.2862338462886, 'y': 483.4612387018455}, {'x': 501.2862353667988, 'y': 483.43537318441184}], [{'x': 612.5649718548484, 'y': 318.4961015817159}, {'x': 722.5649707280788, 'y': 318.5118460790487}, {'x': 722.5570984794122, 'y': 373.5118455156639}, {'x': 612.5570996061817, 'y': 373.49610101833105}]]",,1575560701242.0,hand_selected_014,6,[],6.0,1
20,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,4,explore,physical,explore_end,0.14,0,6,1575560847478.0,824399.8799999245,0,0,"[[{'x': 496.75158404799436, 'y': 592.497620468339}, {'x': 716.751584027049, 'y': 592.5006562864525}, {'x': 716.7500661179906, 'y': 702.5006562759794}, {'x': 496.75006613893754, 'y': 702.497620457866}], [{'x': 326.46331174921704, 'y': 647.5832458857786}, {'x': 436.4632330307159, 'y': 647.4516477697817}, {'x': 436.52903208871544, 'y': 702.45160841053}, {'x': 326.52911080721657, 'y': 702.5832065265266}], [{'x': 273.9239167044422, 'y': 537.6889236467953}, {'x': 493.9239153577453, 'y': 537.6645813646171}, {'x': 493.9360864988333, 'y': 647.6645806912695}, {'x': 273.93608784553055, 'y': 647.6889229734472}], [{'x': 612.536233711348, 'y': 537.5142985522316}, {'x': 722.5362164199684, 'y': 537.5759759638822}, {'x': 722.5053777141426, 'y': 592.5759673181922}, {'x': 612.5053950055222, 'y': 592.5142899065415}], [{'x': 434.06597708974414, 'y': 427.78586938761765}, {'x': 654.065948907096, 'y': 427.67451246237096}, {'x': 654.1216273697188, 'y': 537.6744983710466}, {'x': 434.1216555523673, 'y': 537.7858552962933}], [{'x': 664.7733917236328, 'y': 414.3133375379775}, {'x': 719.7733917236328, 'y': 414.3133375379775}, {'x': 719.7733917236328, 'y': 524.3133375379775}, {'x': 664.7733917236328, 'y': 524.3133375379775}]]",,1575560817473.0,hand_selected_006,6,[],6.0,1
