,targetName,phase,gini,nlevel
0,hand_selected_004,pre,0.41585648148148147,1.0
1,hand_selected_004,post,0.5405103371205066,1.0
2,hand_selected_004,pre,0.2539032006245121,2.0
3,hand_selected_004,post,0.40563637134738534,2.0
4,hand_selected_004,pre,0.14194979332594013,3.0
5,hand_selected_004,post,0.2909485933127117,3.0
6,hand_selected_004,pre,0.0671816479400749,4.0
7,hand_selected_004,post,0.18987222316592112,4.0
8,hand_selected_004,pre,0.02350141305964599,5.0
9,hand_selected_004,post,0.09569438581680034,5.0
10,hand_selected_004,pre,0.014078674948240166,6.0
11,hand_selected_004,post,0.029473793839664638,6.0
12,hand_selected_004,pre,0.0,7.0
13,hand_selected_004,post,0.011761331038439474,7.0
14,hand_selected_004,pre,0.0,8.0
15,hand_selected_004,post,0.0,8.0
16,hand_selected_004,pre,0.0,9.0
17,hand_selected_004,post,0.0,9.0
18,hand_selected_004,pre,0.0,10.0
19,hand_selected_004,post,0.0,10.0
20,hand_selected_005,pre,0.5560224089635855,1.0
21,hand_selected_005,post,0.6315639472746705,1.0
22,hand_selected_005,pre,0.5473227752639518,2.0
23,hand_selected_005,post,0.6277694235588972,2.0
24,hand_selected_005,pre,0.49232209737827715,3.0
25,hand_selected_005,post,0.5933995671847334,3.0
26,hand_selected_005,pre,0.4477477477477477,4.0
27,hand_selected_005,post,0.5549049933716306,4.0
28,hand_selected_005,pre,0.38369374634716547,5.0
29,hand_selected_005,post,0.4945612762871646,5.0
30,hand_selected_005,pre,0.29421487603305785,6.0
31,hand_selected_005,post,0.3997837058399423,6.0
32,hand_selected_005,pre,0.18237547892720307,7.0
33,hand_selected_005,post,0.3198245614035088,7.0
34,hand_selected_005,pre,0.09999999999999998,8.0
35,hand_selected_005,post,0.2896296296296296,8.0
36,hand_selected_005,pre,0.0,9.0
37,hand_selected_005,post,0.0,9.0
38,hand_selected_005,pre,0.0,10.0
39,hand_selected_005,post,0.0,10.0
40,hand_selected_006,pre,0.2857142857142857,1.0
41,hand_selected_006,post,0.3701754385964912,1.0
42,hand_selected_006,pre,0.30245535714285715,2.0
43,hand_selected_006,post,0.3611111111111111,2.0
