trialNum,rawF1DiscreteScore,repetition,gameID,targetName,condition,phase,buildTime,bis
12,0.7556358566044005,2,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_009,repeated,repeated,-0.19005539918033376,0.9456912557847342
13,0.7556358566044005,2,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_004,repeated,repeated,-0.719561649508845,1.4751975061132456
14,-0.8215164984918097,2,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_006,repeated,repeated,1.080599266634489,-1.9021157651262988
15,-0.689656219623109,2,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_011,repeated,repeated,0.9234709925021828,-1.6131272121252918
16,0.7556358566044005,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_005,control,post,-1.6880850994378878,2.4437209560422883
17,0.10354401747808385,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_006,repeated,post,-0.28154654349334113,0.38509056097142497
18,0.6172326907490194,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_009,repeated,post,-0.5713520082832834,1.1885846990323028
19,0.7556358566044005,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_004,repeated,post,-0.5344749643542727,1.2901108209586731
20,0.7556358566044005,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_012,control,post,-1.3250265935824381,2.0806624501868387
21,0.7556358566044005,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_008,control,post,0.018780903939389453,0.736854952665011
22,-0.3746566645478836,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_011,repeated,post,0.37262014881258654,-0.7472768133604701
23,0.7556358566044005,3,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_016,control,post,-0.9465358465175654,1.7021717031219659
0,-1.007403765362758,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_004,repeated,pre,-0.5026042551009587,-0.5047995102617994
1,-1.1164584679845808,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_016,control,pre,1.061511789051637,-2.177970257036218
2,0.9773918223544221,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_005,control,pre,-0.1679429800148186,1.1453348023692407
3,0.8439601862053685,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_011,control,pre,0.9795223549396243,-0.13556216873425575
4,0.687816782201156,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_009,repeated,pre,0.10612861891936244,0.5816881632817936
5,0.22127921750978338,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_008,repeated,pre,1.0429481435923134,-0.82166892608253
